show_name,channel,time,genre,language,duration,episodes,trp_rating,watch_percent
Taarak Mehta Ka Ooltah Chashma,Sony Sab,8:00PM,comedy,hindi,30,3130,7053,80
The Kapil Sharma Show,Sony Entertainment,9:00PM,comedy,hindi,90,307,6641,79
Indian Idol,Sony Entertainment,8:30PM,reality,hindi,90,307,6031,52
Big Boss,Colors,10:00PM,reality,hindi,60,141,6931,4
Yeh Rishta Kya Kehlata Hai,Star Plus,9:30PM,drama,hindi,30,3360,6273,23
Kumkum Bhagya,Zee TV,9:00PM,drama,hindi,30,1805,6752,36
Ramayan,DD National,9:00PM,historic,hindi,30,78,67473,91
Mahabharat,DD Bharati,7:00PM,historic,hindi,45,94,18290,89
Aladdin – Naam Toh Suna Hoga,Sony Sab,9:00PM,fantasy,hindi,30,572,5902,57
Baal Veer,Sony Sab,7:00PM,fantasy,hindi,30,1111,3293,2
Shaktimaan,DD National,6:00PM,fantasy,hindi,60,450,5266,81
KBC,Sony Entertainment,9:00PM,game,hindi,90,936,5863,83
Master Chef India,Star Plus,9:00PM,game,hindi,60,231,5356,73
Karthika Deepam,Star Maa,7:30PM,drama,telugu,30,995,15300,37
Radhamma Kuthuru,Zee Telugu,7:00PM,drama,telugu,30,428,7197,82
RadhaKrishn,Star Bharat,9:00PM,historic,telugu,30,650,13017,84
Evaru Meelo Koteeswarulu,Star Maa,9:00PM,game,telugu,90,230,9750,75
Jabardasth,ETV Network,9:30PM,comedy,telugu,90,400,7657,57
Amrutham,Zee Telugu,8:30PM,comedy,telugu,30,313,9346,92
Trinayani,Zee Bangla,8:30PM,fantasy,telugu,30,423,6099,76
Roja,Sun TV,7:00PM,drama,tamil,30,753,8618,49
Bharathi Kannamma,Star Vijay,9:00PM,drama,tamil,30,444,8064,54
Poove Unakaga,Sun TV,8:00PM,comedy,tamil,30,200,7605,86
